,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Emotion
3311,3311,33.0,0.8920000195503235,"politik, milu, tunda, ketua, masuk, akal, pbnu, sayang, presiden, jadi",benar milu tunda arti pdip tumbang asong kuasa,negative
3312,3312,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3313,3313,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3314,3314,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3315,3315,19.0,0.9190000295639038,"politik, tunda, milu, tak, rakyat, elite, alas, hak, rampas, kalau",mungkin rakyat punya batas sabar lihat tingkah pola elit politik kalau,negative
3316,3316,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3317,3317,24.0,0.9351999759674072,"erick, menteri, jokowi, thohir, satu, muda, bumn, politik, nu, rakyat",menteri badan usaha milik negara erick thohir nilai mampu sejahtera nelayan tani bijak erick,negative
3318,3318,9.0,0.902899980545044,"politik, buat, bumn, jadi, si, utk, jgn, sehat, pd, main",utk jgn bawa2 politik si main tunjuk dukung pd,negative
3319,3319,24.0,0.9253000020980835,"erick, menteri, jokowi, thohir, satu, muda, bumn, politik, nu, rakyat",intelektual muda nu gus ubaid dapat pimpin nasional pasca presiden jokowi imbang,negative
3320,3320,24.0,0.9190000295639038,"erick, menteri, jokowi, thohir, satu, muda, bumn, politik, nu, rakyat",menteri bumn erick thohir nilai mampu sejahtera nelayan program makmur damping,negative
3321,3321,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3322,3322,20.0,0.9305999875068665,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",awal husnuzon angin kuat bila tengok ni besi tebal bengkok macam ni besi,negative
3323,3323,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3324,3324,5.0,0.9253000020980835,"politik, bukan, partai, milu, orang, tuju, ga, tunda, sama, tebar",terlalu harap sama series animasi buat henti nonton akhir bukan cuman tembak2an,negative
3325,3325,9.0,0.6915000081062317,"politik, buat, bumn, jadi, si, utk, jgn, sehat, pd, main",diri lihat menteri bumn erick thohir bukan buat bumn jadi baik profesional sehat contoh,negative
3326,3326,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3327,3327,24.0,0.9351999759674072,"erick, menteri, jokowi, thohir, satu, muda, bumn, politik, nu, rakyat",intelektual muda nu ubaidillah amin dapat salah satu menteri jokowi dekat dgn rakyat erick,negative
3328,3328,3.0,0.8034999966621399,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",apa2 udah kecewa jadi gk yakin tepat janji jauh politik praktis,negative
3329,3329,3.0,0.5264000296592712,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",buat rakyat ukraina penting damai gak perang gabung rusia gak rugi ekonomi angkat lbh aman kumpul saudara nasionalisme mungkin nikmat elit politik aja,negative
3330,3330,22.0,0.939300000667572,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",politik lima apip ketua dpc pkb kabupaten fraksi pkb kab dprd kab kuningan fraksi pkb,negative
3331,3331,22.0,0.939300000667572,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",politik lima apip ketua dpc pkb kabupaten fraksi pkb kab dprd kab kuningan fraksi pkb,negative
3332,3332,3.0,0.44609999656677246,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",jadi gin konstelasi politik,negative
3333,3333,11.0,0.8611999750137329,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",anti klimaks politik ubah per sekian detik,negative
3334,3334,15.0,0.5428000092506409,"politik, indonesia, cari, buat, kalau, jadi, bagai, mau, ni, baik",sila baca studi nato inti deterrence cakup luas sekali segi senjata bahkan strategi non kombat politik,negative
3335,3335,20.0,0.9190000295639038,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",beda politik dukung capres dukung siapa oke orang dakwa teroris munarman,negative
3336,3336,22.0,0.939300000667572,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",politik lima apip ketua dpc pkb kabupaten fraksi pkb kab dprd kab kuningan fraksi pkb,negative
3337,3337,11.0,0.6065999865531921,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",cia siap situasi hari tahun tahun silam semua jadi ukraina hasil,negative
3338,3338,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3339,3339,11.0,0.838100016117096,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",komika si paling paham politik,negative
3340,3340,9.0,0.902899980545044,"politik, buat, bumn, jadi, si, utk, jgn, sehat, pd, main",utk jgn bawa2 politik si main tunjuk dukung pd,negative
3341,3341,24.0,0.5260999798774719,"erick, menteri, jokowi, thohir, satu, muda, bumn, politik, nu, rakyat",intelektual muda nu gus ubaid dapat pimpin nasional pasca presiden jokowi imbang tak buat bumn jd baik profesional sehat jg mau sapa masyarakat,negative
3342,3342,9.0,0.939300000667572,"politik, buat, bumn, jadi, si, utk, jgn, sehat, pd, main",jangan jadi bangang mb johor sejak tahun lepas mana raja negeri johor sejak tahun ph,negative
3343,3343,33.0,0.7373999953269958,"politik, milu, tunda, ketua, masuk, akal, pbnu, sayang, presiden, jadi",politik bangkang jadi doktor bangkang jadi lawyer bangkang jadi,negative
3344,3344,14.0,0.9253000020980835,"atas, kalau, nu, betul, asal, tdk, penting, dukung, gera, bener2",dukung gera kalau betul asal bener2 nu ukhuwah islamiyah tdk atas penting,negative
3345,3345,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3346,3346,10.0,0.8611999750137329,"politik, punya, partai, apa, tahun, amerika, ilmu, rakyat, pesimis, jadi",org2 politik juang utk rakyat ngah sibuk,positive
3347,3347,24.0,0.9488999843597412,"erick, menteri, jokowi, thohir, satu, muda, bumn, politik, nu, rakyat",menteri badan usaha milik negara erick thohir nilai mampu sejahtera nelayan tani bijak erick thohir sebut pihak masyarakat,negative
3348,3348,1.0,0.9050999879837036,"politik, milik, bukan, seni, kerja, putus, mampu, industri, negara, terorisme",tokoh kenal gadang gadang jd capres tp blm punya kendara punya kendara politik tp tdk pede tarung dlm tunda milu,negative
3349,3349,16.0,0.9190000295639038,"uefa, krn, langgar, atur, tdk, bawa2, denda, celtic, th, kibar",th celtic denda uefa krn suporter kibar langgar atur tdk bawa2,negative
3350,3350,22.0,0.6439999938011169,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",no israel maen caplok negara orang ukraina no kucing,positive
3351,3351,21.0,0.5950999855995178,"politik, partai, kata, negara, cari, buat, jadi, kalau, sepakbola, main",kontol bawa2 politik sepakbola jilat ludah tolol,negative
3352,3352,19.0,0.819100022315979,"politik, tunda, milu, tak, rakyat, elite, alas, hak, rampas, kalau",janji orang politik jangan percaya dulu masa pilihanraya janji directional ramp keluar masuk tsb sg sekali menang lepastu tak laksana janji tu sekarang,negative
3353,3353,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3354,3354,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3355,3355,12.0,0.838100016117096,"politik, bela, jilat, catat, khianat, dusta, keliling, sanjung, kata, mau",ahli politik ugut pdrm kini,negative
3356,3356,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3357,3357,19.0,0.9190000295639038,"politik, tunda, milu, tak, rakyat, elite, alas, hak, rampas, kalau",mungkin rakyat punya batas sabar lihat tingkah pola elit politik kalau,negative
3358,3358,16.0,0.6074000000953674,"uefa, krn, langgar, atur, tdk, bawa2, denda, celtic, th, kibar",lo mabok bhs arab gue mabok politik,negative
3359,3359,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3360,3360,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3361,3361,16.0,0.9190000295639038,"uefa, krn, langgar, atur, tdk, bawa2, denda, celtic, th, kibar",gilir klub israel gapernah diginiin kompetisi eropa uefa bahkan fifa organisasi,negative
3362,3362,0.0,0.878600001335144,"politik, cari, kalau, jadi, perang, islam, laku, umat, tanah, balik",jelas kalau kekal parti asal jadi wakil,negative
3363,3363,0.0,0.9305999875068665,"politik, cari, kalau, jadi, perang, islam, laku, umat, tanah, balik",hikmah balik peperangan catur laku perang proksi tanah air umat islam anggap jadi,negative
3364,3364,16.0,0.9190000295639038,"uefa, krn, langgar, atur, tdk, bawa2, denda, celtic, th, kibar",gilir klub israel gapernah diginiin kompetisi eropa uefa bahkan fifa organisasi,negative
3365,3365,16.0,0.9190000295639038,"uefa, krn, langgar, atur, tdk, bawa2, denda, celtic, th, kibar",th celtic denda uefa krn suporter kibar langgar atur tdk bawa2,negative
3366,3366,3.0,0.5938000082969666,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",y betul tp terap jadi olah double standard cuma anggap palestina masalah politik ukraina laku rusia israel contoh nyata,negative
3367,3367,12.0,0.878600001335144,"politik, bela, jilat, catat, khianat, dusta, keliling, sanjung, kata, mau",catat bela dusta keliling jilat sanjung khianat,negative
3368,3368,16.0,0.9190000295639038,"uefa, krn, langgar, atur, tdk, bawa2, denda, celtic, th, kibar",gilir klub israel gapernah diginiin kompetisi eropa uefa bahkan fifa organisasi,negative
3369,3369,9.0,0.3668999969959259,"politik, buat, bumn, jadi, si, utk, jgn, sehat, pd, main",main politik pake jurus utk menang awal,negative
3370,3370,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3371,3371,16.0,0.9190000295639038,"uefa, krn, langgar, atur, tdk, bawa2, denda, celtic, th, kibar",th celtic denda uefa krn suporter kibar langgar atur tdk bawa2,negative
3372,3372,26.0,0.9429000020027161,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",rakyat johor dah mula cakap nak jadi mb nafas baru politik harap baru rakyat johor je,negative
3373,3373,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3374,3374,18.0,0.878600001335144,"politik, usul, cak, imin, konyol, ismail, zulhas, milu, ni, buat",dun endau milik anak muda endau milik,negative
3375,3375,26.0,0.5134000182151794,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",partai politik baru,positive
3376,3376,12.0,0.878600001335144,"politik, bela, jilat, catat, khianat, dusta, keliling, sanjung, kata, mau",catat bela dusta keliling jilat sanjung khianat,negative
3377,3377,19.0,0.7839999794960022,"politik, tunda, milu, tak, rakyat, elite, alas, hak, rampas, kalau",gabung proyek love once virzha ttp diri non kelar acara si pakdhe bakal terjun k politik bakal,negative
3378,3378,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3379,3379,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3380,3380,12.0,0.878600001335144,"politik, bela, jilat, catat, khianat, dusta, keliling, sanjung, kata, mau",catat bela dusta keliling jilat sanjung khianat,negative
3381,3381,0.0,0.8784999847412109,"politik, cari, kalau, jadi, perang, islam, laku, umat, tanah, balik",mending om ahmaddani ngeban aja dri pda politik,negative
3382,3382,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3383,3383,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3384,3384,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3385,3385,3.0,0.5727999806404114,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",kasi spartak moscow kata jgn campur sepakbola sama politik,negative
3386,3386,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3387,3387,24.0,0.9190000295639038,"erick, menteri, jokowi, thohir, satu, muda, bumn, politik, nu, rakyat",menteri bumn erick thohir nilai mampu sejahtera nelayan program makmur damping,negative
3388,3388,18.0,0.878600001335144,"politik, usul, cak, imin, konyol, ismail, zulhas, milu, ni, buat",dun endau milik anak muda endau milik,negative
3389,3389,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3390,3390,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3391,3391,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3392,3392,9.0,0.902899980545044,"politik, buat, bumn, jadi, si, utk, jgn, sehat, pd, main",utk jgn bawa2 politik si main tunjuk dukung pd,negative
3393,3393,16.0,0.5404000282287598,"uefa, krn, langgar, atur, tdk, bawa2, denda, celtic, th, kibar",also uefa sepakbola kait politik,negative
3394,3394,33.0,0.942799985408783,"politik, milu, tunda, ketua, masuk, akal, pbnu, sayang, presiden, jadi",kembang tahan kabar jerman aja longgar us buat kembang senjata gara kalah sama cuma gara politik us,negative
3395,3395,13.0,0.8500000238418579,"n, gera, dukung, klo, kuat, besar, moga, makin, byk, patut",jam set malem bahas matkul smpe perang ukraina politik hampir jam malem wkwk,negative
3396,3396,16.0,0.9190000295639038,"uefa, krn, langgar, atur, tdk, bawa2, denda, celtic, th, kibar",th celtic denda uefa krn suporter kibar langgar atur tdk bawa2,negative
3397,3397,1.0,0.4830000102519989,"politik, milik, bukan, seni, kerja, putus, mampu, industri, negara, terorisme",ingat elite kalau lewat pecah revolusi ketua dpd aa lanyalla mahmud mattalitti kritik elite politik muncul dukung wacana tunda milu,negative
3398,3398,5.0,0.72079998254776,"politik, bukan, partai, milu, orang, tuju, ga, tunda, sama, tebar",nyimak cerita politik dah kek ngobrol sama,positive
3399,3399,23.0,0.9429000020027161,"politik, ni, kuasa, tak, dah, nak, orang, kan, la, sekarang",so malaysians sekarang ni dah la huru hara pasal politik kuasa tak kan nak orang luar,negative
3400,3400,16.0,0.9190000295639038,"uefa, krn, langgar, atur, tdk, bawa2, denda, celtic, th, kibar",gilir klub israel gapernah diginiin kompetisi eropa uefa bahkan fifa organisasi,negative
3401,3401,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3402,3402,26.0,0.9429000020027161,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",rakyat johor dah mula cakap nak jadi mb nafas baru politik harap baru rakyat johor je,negative
3403,3403,5.0,0.9537000060081482,"politik, bukan, partai, milu, orang, tuju, ga, tunda, sama, tebar",politik praktis klo ngajak dialog nyari solusi apa solusi cm tunda milu monggo jwbn g masuk akal biar g politik praktis,negative
3404,3404,26.0,0.9429000020027161,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",rakyat johor dah mula cakap nak jadi mb nafas baru politik harap baru rakyat johor je,negative
3405,3405,9.0,0.902899980545044,"politik, buat, bumn, jadi, si, utk, jgn, sehat, pd, main",utk jgn bawa2 politik si main tunjuk dukung pd,negative
3406,3406,26.0,0.9190000295639038,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",ingat kalau menang pilihanraya undi kisah skandal wang negara parti politik,negative
3407,3407,26.0,0.46070000529289246,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",kalau menang prn johor ada hakim ni percaya pilihanraya negeri,negative
3408,3408,29.0,0.9429000020027161,"buat, kata, makin, tinggi, sbb, bagai, kes, of, sop, uni",uni cancel buat majlis konvo kata sbb kes makin tinggi despite of preventable measure sop bagai,negative
3409,3409,32.0,0.9351999759674072,"politik, jabat, presiden, panjang, masa, partai, jumlah, usul, pimpin, tahun",usul panjang masa jabat presiden embus jumlah pimpin partai politik bahas sejak tahun lalu,positive
3410,3410,1.0,0.8920999765396118,"politik, milik, bukan, seni, kerja, putus, mampu, industri, negara, terorisme",revolusi bukan milik lelaki perempuan peran jaring informasi,negative
3411,3411,34.0,0.9253000020980835,"milu, ikut, alas, tunda, barat, takut, pertama, aman, pki, iri",milu pertama milu ikut tunda alas aman iri barat takut pki menang,negative
3412,3412,3.0,0.902899980545044,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",kata sepakbola gaboleh politik politik gimana sih kaga konsisten,negative
3413,3413,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3414,3414,12.0,0.878600001335144,"politik, bela, jilat, catat, khianat, dusta, keliling, sanjung, kata, mau",catat bela dusta keliling jilat sanjung khianat,negative
3415,3415,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3416,3416,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3417,3417,32.0,0.9351999759674072,"politik, jabat, presiden, panjang, masa, partai, jumlah, usul, pimpin, tahun",usul panjang masa jabat presiden embus jumlah pimpin partai politik bahas sejak tahun lalu,positive
3418,3418,32.0,0.9351999759674072,"politik, jabat, presiden, panjang, masa, partai, jumlah, usul, pimpin, tahun",usul panjang masa jabat presiden embus jumlah pimpin partai politik bahas sejak tahun lalu,positive
3419,3419,11.0,0.7093999981880188,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",kata nu kagak bakal kecambah dunia om yc hihihihihihi,negative
3420,3420,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3421,3421,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3422,3422,19.0,0.9253000020980835,"politik, tunda, milu, tak, rakyat, elite, alas, hak, rampas, kalau",luar kaji pelabur asing kaji duduk politik siapa nak labur negara tak,positive
3423,3423,16.0,0.9190000295639038,"uefa, krn, langgar, atur, tdk, bawa2, denda, celtic, th, kibar",th celtic denda uefa krn suporter kibar langgar atur tdk bawa2,negative
3424,3424,26.0,0.9190000295639038,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",ingat kalau menang pilihanraya undi kisah skandal wang negara parti politik,negative
3425,3425,16.0,0.9190000295639038,"uefa, krn, langgar, atur, tdk, bawa2, denda, celtic, th, kibar",th celtic denda uefa krn suporter kibar langgar atur tdk bawa2,negative
3426,3426,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3427,3427,1.0,0.902899980545044,"politik, milik, bukan, seni, kerja, putus, mampu, industri, negara, terorisme",mampu lebih beliau presiden jokowi kerja berani ambil putus,negative
3428,3428,24.0,0.9190000295639038,"erick, menteri, jokowi, thohir, satu, muda, bumn, politik, nu, rakyat",intelektual muda nu ubaidillah amin dapat pimpin nasional pasca presiden jokowi,negative
3429,3429,18.0,0.878600001335144,"politik, usul, cak, imin, konyol, ismail, zulhas, milu, ni, buat",dun endau milik anak muda endau milik,negative
3430,3430,24.0,0.6761999726295471,"erick, menteri, jokowi, thohir, satu, muda, bumn, politik, nu, rakyat",bumn erick,negative
3431,3431,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3432,3432,3.0,0.939300000667572,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",sedang tular media sosial klip ucap ahli parlimen seputeh yb esa kok dakwa pihak polis,negative
3433,3433,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3434,3434,1.0,0.902899980545044,"politik, milik, bukan, seni, kerja, putus, mampu, industri, negara, terorisme",mampu lebih beliau presiden jokowi kerja berani ambil putus,negative
3435,3435,3.0,0.38999998569488525,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",mo nanya dong bukan statuta fifa ga ngebolehin ikut campur sama urus federasi sepakbola negara tsb,negative
3436,3436,24.0,0.9190000295639038,"erick, menteri, jokowi, thohir, satu, muda, bumn, politik, nu, rakyat",intelektual muda nu ubaidillah amin dapat pimpin nasional pasca presiden jokowi,negative
3437,3437,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3438,3438,28.0,0.7804999947547913,"cari, kalau, ajak, in, ideologi, all, topik, tukar, pasang, level",konteks u bawa soal tanam paksa bukan soal kontek politik bangsa u,negative
3439,3439,34.0,0.9253000020980835,"milu, ikut, alas, tunda, barat, takut, pertama, aman, pki, iri",milu pertama milu ikut tunda alas aman iri barat takut pki menang,negative
3440,3440,24.0,0.6761999726295471,"erick, menteri, jokowi, thohir, satu, muda, bumn, politik, nu, rakyat",bumn erick,negative
3441,3441,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3442,3442,20.0,0.9305999875068665,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",awal husnuzon angin kuat bila tengok ni besi tebal bengkok macam ni besi,negative
3443,3443,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3444,3444,16.0,0.9190000295639038,"uefa, krn, langgar, atur, tdk, bawa2, denda, celtic, th, kibar",gilir klub israel gapernah diginiin kompetisi eropa uefa bahkan fifa organisasi,negative
3445,3445,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3446,3446,26.0,0.9429000020027161,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",rakyat johor dah mula cakap nak jadi mb nafas baru politik harap baru rakyat johor je,negative
3447,3447,1.0,0.8920999765396118,"politik, milik, bukan, seni, kerja, putus, mampu, industri, negara, terorisme",revolusi bukan milik lelaki perempuan peran jaring informasi,negative
3448,3448,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3449,3449,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3450,3450,29.0,0.9429000020027161,"buat, kata, makin, tinggi, sbb, bagai, kes, of, sop, uni",uni cancel buat majlis konvo kata sbb kes makin tinggi despite of preventable measure sop bagai,negative
3451,3451,4.0,0.9253000020980835,"cari, kalau, ajak, pasang, all, sembang, ideologi, level, in, topik",kalau cari pasang cari ajak sembang topik tukar in all level ideologi,negative
3452,3452,15.0,0.7128999829292297,"politik, indonesia, cari, buat, kalau, jadi, bagai, mau, ni, baik",perhati politik bkn jadi macai jilat tegar tukar kaa,negative
3453,3453,3.0,0.6025999784469604,"politik, jadi, baru, ketua, omong, jg, udh, sbg, blm, lembaga",ngomongnya awal gak mau ikut politik eh sekarang malah jadi politikus kayak ki,negative
3454,3454,34.0,0.9190000295639038,"milu, ikut, alas, tunda, barat, takut, pertama, aman, pki, iri",letak bahasa melayu bahasa bangsa cetak lembaga sahaja bahasa melayu sentiasa,positive
3455,3455,9.0,0.76910001039505,"politik, buat, bumn, jadi, si, utk, jgn, sehat, pd, main",gus ubaid erick thohir bukan buat bumn sehat profesional buat bumn bumi harap,negative
3456,3456,22.0,0.838100016117096,"politik, sepakbola, pkb, sama, tak, kab, bawa, ga, rusia, pernah",guys jangan masuk hi politik prank,negative
3457,3457,20.0,0.9305999875068665,"ni, besi, politik, milu, bila, indonesia, tunda, awal, macam, kuat",awal husnuzon angin kuat bila tengok ni besi tebal bengkok macam ni besi,negative
3458,3458,26.0,0.9190000295639038,"politik, baru, rakyat, johor, nak, dah, lebih, jadi, aku, indonesia",ingat kalau menang pilihanraya undi kisah skandal wang negara parti politik,negative
3459,3459,34.0,0.9253000020980835,"milu, ikut, alas, tunda, barat, takut, pertama, aman, pki, iri",milu pertama milu ikut tunda alas aman iri barat takut pki menang,negative
3460,3460,14.0,0.675000011920929,"atas, kalau, nu, betul, asal, tdk, penting, dukung, gera, bener2",betul gak alas tunda milu kalau alas pandemi pilkada tetap jalan meski tengah puncak pandemi,negative
3461,3461,0.0,0.9028000235557556,"politik, cari, kalau, jadi, perang, islam, laku, umat, tanah, balik",jare bal bal an iku gak sangkut paut ki,positive
3462,3462,24.0,0.757099986076355,"erick, menteri, jokowi, thohir, satu, muda, bumn, politik, nu, rakyat",ah intelektual muda,negative
3463,3463,32.0,0.9351999759674072,"politik, jabat, presiden, panjang, masa, partai, jumlah, usul, pimpin, tahun",usul panjang masa jabat presiden embus jumlah pimpin partai politik bahas sejak tahun lalu,positive
3464,3464,9.0,0.902899980545044,"politik, buat, bumn, jadi, si, utk, jgn, sehat, pd, main",utk jgn bawa2 politik si main tunjuk dukung pd,negative
3465,3465,21.0,0.4943000078201294,"politik, partai, kata, negara, cari, buat, jadi, kalau, sepakbola, main",h celtic denda uefa krn suporter kibar langgar atur tdk bawa2 politik tanding semua main manchester pakai bendera ukraina tdk denda bukankah all lives matter,negative
3466,3466,11.0,0.4129999876022339,"politik, jadi, rusia, paling, tahun, pimpin, mau, semua, si, agama",thn lalu aku kenal politik idealiasme besar hrs puncak aku milih jln strategi nya bkn politik praktis krn bahasa dl kalo mau masuk ranah politik muka hrs siap jd cundang krn blm siap sampe dtk undeground strategy krn g bs jd cundang,negative
